accx,accy,accz,Total_Acceleration
0.9256148,0.1663663,0.3673494,1.009646515090846
0.9286822,0.1663854,0.3661213,1.0120175572803518
0.9318461,0.1642254,0.3659201,1.0144972428126062
0.9323784,0.1662132,0.3694279,1.0165792059348893
0.9318425,0.1685361,0.3741724,1.0182042264355515
0.9312789,0.1714601,0.3746963,1.0183694185858636
0.9294211,0.1735642,0.3749847,1.0171340314240498
0.9270672,0.1702727,0.380929,1.0166382290284632
0.9286819,0.1698808,0.3844061,1.0193515621773774
0.9319282,0.1702874,0.3825688,1.021688237813982
0.9314977,0.1696609,0.3770609,1.0191406715478046
0.9282974,0.1698826,0.3727554,1.0146638600337947
0.9253317,0.1687815,0.3762259,1.0130507774035564
0.9258697,0.1704601,0.3785303,1.0146805088736996
0.9273355,0.1732397,0.3774726,1.0160948218385428
0.9255636,0.175548,0.376443,1.0144921932661484
0.9244003,0.1759646,0.3754154,1.013121995443002
0.9245327,0.1735268,0.3771789,1.0134772746799703
0.9273334,0.1734006,0.3763745,1.0157129353740504
0.9325468,0.1714165,0.3751896,1.0197030874772568
0.9301455,0.1702283,0.3751134,1.0172798966610417
0.9245892,0.1724253,0.372949,1.0117740011671232
0.9239178,0.1695359,0.3739389,1.0110374985522843
0.9258844,0.1682628,0.371297,1.0116500156853654
0.9305557,0.169808,0.3681149,1.0150257372443814
0.9300747,0.1691205,0.371042,1.0155357486885137
0.926914,0.1712745,0.3693243,1.0123758967482088
0.9298895,0.1715394,0.3699784,1.0153838015396788
0.9295273,0.1695818,0.3728053,1.0157572446429413
0.9269971,0.1695187,0.3703623,1.0125356518757203
0.9264035,0.1675584,0.3753459,1.013500768065629
0.9242862,0.167842,0.3797554,1.0132571639537515
0.9268209,0.1706452,0.3752964,1.014378702858459
0.9326644,0.1709451,0.3742273,1.0193778407963654
0.9358822,0.1702705,0.3755554,1.0226971173892347
0.9352361,0.1672093,0.3768998,1.0220953830194812
0.9327435,0.1645402,0.3779506,1.0197698614141575
0.9334815,0.1678212,0.3758057,1.0201870368536252
0.9336071,0.1708865,0.3734831,1.0199578614032396
0.9327889,0.1693712,0.3730825,1.0188092496433767
0.9336647,0.1688151,0.3740186,1.0198618647444662
0.9316835,0.1696281,0.3736003,1.01802997040458
0.9288573,0.167379,0.3738259,1.0151538882923612
0.9270486,0.1649565,0.3770742,1.0143050359531152
0.9267196,0.165172,0.3797197,1.0150261362035216
0.9286857,0.1655164,0.379162,1.0166693810169802
0.9294077,0.1661857,0.3743174,1.015642592473622
0.9302951,0.1669417,0.3728761,1.0160487637087652
0.9308357,0.1667031,0.377907,1.0183608027575983
0.9301238,0.1665746,0.3793456,1.0182241722385892
0.9295665,0.1666698,0.374811,1.0160492044558127
0.926932,0.1667375,0.3703847,1.0120223083135766
0.9260766,0.1666046,0.3720209,1.0118174300957312
0.9283882,0.1673721,0.3747947,1.0150808523983397
0.9297057,0.1703219,0.3748726,1.0168046540328481
0.9292312,0.1730234,0.3780571,1.018005349132022
0.9275973,0.1718405,0.3782595,1.0163887827734965
0.9268686,0.1697099,0.375012,1.014160170765925
0.9263205,0.1709069,0.375049,1.013874050160502
0.9275332,0.1698717,0.3747205,1.0146869885257128
0.9312305,0.1658297,0.3750754,1.0175319598015091
0.9321599,0.164778,0.375295,1.0182927896617013
0.9303032,0.1653181,0.3744992,1.0163876076175318
0.9283487,0.1664,0.3755994,1.0151823373522857
0.9289349,0.166638,0.3757551,1.0158150258083505
0.9297154,0.164668,0.3764869,1.0164785590915186
0.9275199,0.164198,0.3765064,1.0144019012901002
0.9267255,0.1671884,0.3740189,1.0132434312651724
0.9263129,0.1705382,0.3739298,1.0133915145163246
0.9260095,0.1680478,0.3761097,1.0135048907672721
0.926893,0.1649925,0.3790738,1.014913840851375
0.9260877,0.1672646,0.3800516,1.01491629860152
0.9261826,0.1669884,0.3801161,1.014981568185615
0.9261376,0.1659913,0.3812259,1.0151931602607753
0.9265039,0.1670507,0.3781823,1.014562597930256
0.9304567,0.1658955,0.3727239,1.0159695335620798
0.9325093,0.1663505,0.3676235,1.016067478659262
0.932701,0.1671542,0.3674593,1.016315905186537
0.9333237,0.1655795,0.3727532,1.0185551766655452
0.9312631,0.1656826,0.3718083,1.0163380821917773
0.9280156,0.1663635,0.3720173,1.0135514981859086
0.927319,0.1656404,0.3770718,1.0146627086024202
0.9288873,0.1647995,0.3749088,1.015158657362966
0.9295643,0.1634389,0.3740029,1.0152242269942686
0.9292366,0.1621406,0.3760603,1.0154760372278657
0.9299948,0.1639559,0.3746117,1.0159260755334218
0.9300115,0.1686362,0.376782,1.017508837114789
0.9261816,0.1730909,0.3814954,1.0165193338360712
0.9230763,0.1735924,0.3827477,1.0142484798187967
0.9285748,0.1679667,0.3759411,1.0157734403759235
0.9346583,0.1633205,0.3673391,1.0174466756876992
0.9317486,0.1645499,0.3703281,1.0160585735288985
0.9297432,0.1635922,0.3738935,1.0153724317654729
0.9314112,0.1598397,0.3736911,1.0162286117802135
0.9301548,0.1618079,0.3788402,1.0172952597950558
0.9301578,0.1652998,0.3764511,1.016972461511171
0.9302459,0.1661691,0.3706504,1.0150622263101803
0.9283439,0.1686593,0.374715,1.015223959217226
0.9294749,0.1676862,0.3747035,1.0160929899928943
0.9304007,0.1643842,0.3712689,1.0151395095637545
0.9300006,0.1655563,0.3711579,1.0149227513473427
