ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
-0.7298,1.3996,0.4089,1.637,WALKING_DOWNSTAIRS,1
-1.113375,2.062175,0.57045,2.41225,WALKING_DOWNSTAIRS,1
-1.06278,2.75784,0.81526,3.0714,WALKING_DOWNSTAIRS,1
-0.658575,3.367325,0.56515,3.48575,WALKING_DOWNSTAIRS,1
-0.373166667,3.5101,-0.101866667,3.535333333,WALKING_DOWNSTAIRS,1
-0.387425,3.1962,-0.397975,3.24425,WALKING_DOWNSTAIRS,1
-0.89426,2.8582,0.1249,3.0164,WALKING_DOWNSTAIRS,1
-1.1927,2.603433333,0.5224,2.912,WALKING_DOWNSTAIRS,1
-0.9545,2.24962,0.90426,2.6128,WALKING_DOWNSTAIRS,1
-0.47355,2.0098,1.0215,2.3045,WALKING_DOWNSTAIRS,1
-0.232275,1.8974,1.0396,2.177,WALKING_DOWNSTAIRS,1
0.2007,1.53088,0.36132,1.6094,WALKING_DOWNSTAIRS,1
0.6146,0.611925,-0.4666,1.042,WALKING_DOWNSTAIRS,1
0.833125,-0.178475,-0.523625,1.02575,WALKING_DOWNSTAIRS,1
0.4768,-0.952075,-0.123175,1.09775,WALKING_DOWNSTAIRS,1
0.3082,-1.67725,-0.03725,1.706,WALKING_DOWNSTAIRS,1
0.744316667,-2.054766667,-0.384716667,2.2525,WALKING_DOWNSTAIRS,1
1.924575,-2.60195,-1.268425,3.48,WALKING_DOWNSTAIRS,1
1.632825,-2.22915,-0.063775,2.80425,WALKING_DOWNSTAIRS,1
0.933033333,-1.444533333,1.336866667,2.203666667,WALKING_DOWNSTAIRS,1
0.279733333,-1.6384,1.608033333,2.328333333,WALKING_DOWNSTAIRS,1
0.12,-4.494383333,0.157916667,4.581,WALKING_DOWNSTAIRS,1
-0.400075,-5.457925,-1.2498,5.6145,WALKING_DOWNSTAIRS,1
-0.006425,-3.412575,-0.98515,3.561,WALKING_DOWNSTAIRS,1
-0.229875,-1.6598,-1.56065,2.32975,WALKING_DOWNSTAIRS,1
-0.6854,-0.66635,-1.478375,1.77675,WALKING_DOWNSTAIRS,1
-1.24705,0.1118,0.152525,1.3815,WALKING_DOWNSTAIRS,1
-1.745375,1.0374,1.55085,2.56425,WALKING_DOWNSTAIRS,1
-2.02055,1.825375,1.940525,3.3465,WALKING_DOWNSTAIRS,1
-2.283,2.149266667,2.0973,3.772333333,WALKING_DOWNSTAIRS,1
-2.427366667,2.1036,2.3439,3.977,WALKING_DOWNSTAIRS,1
-2.74895,1.944083333,2.217466667,4.0405,WALKING_DOWNSTAIRS,1
-2.76685,1.962,1.387825,3.67,WALKING_DOWNSTAIRS,1
-2.1019,2.284266667,0.9216,3.245,WALKING_DOWNSTAIRS,1
-1.35004,2.7581,0.97516,3.2308,WALKING_DOWNSTAIRS,1
-0.95635,2.8774,1.1165,3.232,WALKING_DOWNSTAIRS,1
-0.680016667,2.319216667,0.9457,2.595666667,WALKING_DOWNSTAIRS,1
-0.062975,1.604875,0.570025,1.715,WALKING_DOWNSTAIRS,1
0.4626,1.5804,-0.027475,1.66525,WALKING_DOWNSTAIRS,1
0.621625,1.282125,-0.3326,1.46375,WALKING_DOWNSTAIRS,1
0.247475,0.535525,-0.194825,0.6365,WALKING_DOWNSTAIRS,1
-0.233925,-0.0992,-0.703,0.7565,WALKING_DOWNSTAIRS,1
-0.69385,-0.39335,-1.40115,1.61225,WALKING_DOWNSTAIRS,1
-0.781175,-0.72375,-1.76245,2.06325,WALKING_DOWNSTAIRS,1
-0.397525,-1.313675,-1.66925,2.176,WALKING_DOWNSTAIRS,1
0.479925,-1.9241,-1.4399,2.4705,WALKING_DOWNSTAIRS,1
0.6708,-1.761775,-0.773225,2.05825,WALKING_DOWNSTAIRS,1
