ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
0.41928,-0.52382,0.76634,1.256,STANDING,1
0.742925,-0.3684,-1.408925,1.663,STANDING,1
0.331675,-0.233275,-1.457,1.51525,STANDING,1
-0.14505,0.01415,0.6611,0.78675,STANDING,1
-0.09875,0.052125,1.735275,1.7395,STANDING,1
-0.2794,0.07975,-0.1285,0.6595,STANDING,1
-0.2697,0.0531,-1.365166667,1.393666667,STANDING,1
-0.11574,-0.0159,-0.92608,0.9364,STANDING,1
-0.08865,-0.015325,0.188725,0.30175,STANDING,1
0.191575,-0.02955,0.482,0.5345,STANDING,1
0.611225,-0.2781,0.054825,0.69575,STANDING,1
0.799675,-0.4503,-0.534025,1.071,STANDING,1
0.705175,-0.3195,-0.8081,1.1225,STANDING,1
0.213425,-0.20855,-0.874,0.9385,STANDING,1
0.0587,-0.1353,-0.530525,0.552,STANDING,1
0.098275,-0.133525,-0.20525,0.27775,STANDING,1
0.363175,-0.1308,0.1843,0.43475,STANDING,1
0.560575,-0.181475,0.371575,0.697,STANDING,1
0.2976,-0.106975,0.273425,0.422,STANDING,1
0.0665,-0.01825,0.145525,0.162,STANDING,1
0.128375,-0.080125,0.156675,0.2205,STANDING,1
0.1033,-0.2094,0.2418,0.338,STANDING,1
-0.026325,-0.196875,0.27005,0.33775,STANDING,1
0.08485,-0.20085,0.30455,0.37875,STANDING,1
0.043366667,-0.190533333,0.227666667,0.309,STANDING,1
-0.16778,-0.20194,-0.09398,0.307,STANDING,1
-0.455575,-0.08415,-0.4374,0.642,STANDING,1
-0.664375,0.10325,-0.5111,0.84725,STANDING,1
-0.937075,0.373725,-0.432575,1.09875,STANDING,1
-1.07785,0.471725,-0.594525,1.32025,STANDING,1
-0.8965,0.317,-0.6524,1.153,STANDING,1
-0.441328571,0.080385714,-0.443685714,0.634285714,STANDING,1
0.269275,-0.055825,0.320575,0.4275,STANDING,1
1.01865,-0.410275,0.77795,1.3555,STANDING,1
0.727775,-0.39945,0.050575,0.85025,STANDING,1
0.865975,-0.31415,-0.11955,0.93725,STANDING,1
1.1492,-0.3578,0.19615,1.22375,STANDING,1
1.1068,-0.370875,0.10295,1.1735,STANDING,1
0.6085,-0.148675,0.1966,0.663,STANDING,1
-0.0959,0.05155,-0.034275,0.182,STANDING,1
-0.25605,0.0549,-0.18425,0.321,STANDING,1
