ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
0.10825,-0.047975,0.0543,0.13125,STANDING,5
0.027275,-0.0339,0.032175,0.05525,STANDING,5
0.054375,-0.02335,0.01325,0.061,STANDING,5
0.0706,-0.00705,0.01275,0.0725,STANDING,5
0.012042857,-0.011642857,-0.025285714,0.047285714,STANDING,5
-0.045466667,-0.023966667,-0.0013,0.052333333,STANDING,5
-0.0973,0.012275,0.03125,0.10425,STANDING,5
-0.161825,0.0443,0.076525,0.1845,STANDING,5
-0.09272,0.03402,0.06784,0.1224,STANDING,5
0.033575,-0.0126,-0.033875,0.055,STANDING,5
0.088633333,-0.0329,-0.143466667,0.172,STANDING,5
0.09126,-0.0487,-0.17266,0.2024,STANDING,5
0.0322,-0.060925,-0.106875,0.12825,STANDING,5
-0.042275,0.008325,-0.026725,0.0615,STANDING,5
-0.14025,0.063275,-0.0151,0.1545,STANDING,5
-0.205966667,0.0937,-0.025833333,0.228,STANDING,5
-0.23506,0.1015,0.013,0.2572,STANDING,5
-0.22055,0.07795,0.08115,0.2485,STANDING,5
-0.23135,0.077375,0.139475,0.2815,STANDING,5
-0.185825,0.0467,0.15775,0.24875,STANDING,5
-0.08865,0.009,0.104525,0.13775,STANDING,5
-0.0522,-0.013675,-0.02375,0.06625,STANDING,5
-0.012675,-0.022025,-0.105175,0.1085,STANDING,5
0.0037,-0.00835,-0.1052,0.1065,STANDING,5
0.0422,0.008871429,-0.035957143,0.065285714,STANDING,5
0.026925,0.035,0.0257,0.05425,STANDING,5
-0.037825,0.00105,0.0077,0.041,STANDING,5
-0.144133333,-0.012533333,0.045766667,0.152333333,STANDING,5
-0.20672,0.0371,0.11952,0.2426,STANDING,5
-0.1655,0.05215,0.11475,0.20825,STANDING,5
-0.104766667,0.060966667,0.034066667,0.126666667,STANDING,5
-0.047125,0.03735,-0.058875,0.09,STANDING,5
0.00865,0.0079,-0.127975,0.129,STANDING,5
-0.0237,-0.03892,-0.1454,0.1544,STANDING,5
-0.0947,-0.056225,-0.12275,0.1665,STANDING,5
-0.120966667,0.0133,-0.0888,0.151333333,STANDING,5
-0.06994,0.03594,-0.05684,0.099,STANDING,5
0.04655,0.0279,-0.03785,0.072,STANDING,5
0.0935,0.083775,0.018975,0.13175,STANDING,5
0.019175,0.10155,0.085325,0.13775,STANDING,5
-0.0568,0.040975,0.116875,0.13825,STANDING,5
-0.078675,-0.006275,0.1085,0.1345,STANDING,5
-0.081375,-0.03085,0.074575,0.11525,STANDING,5
-0.0346,-0.069125,0.065775,0.10425,STANDING,5
0.080125,-0.065675,0.07585,0.132,STANDING,5
0.1193,-0.0369,0.054066667,0.136333333,STANDING,5
0.16845,-0.0176,0.045875,0.17575,STANDING,5
0.232,-0.0305,0.004975,0.236,STANDING,5
0.181966667,-0.0408,-0.133833333,0.234666667,STANDING,5
0.03295,-0.03665,-0.294683333,0.304666667,STANDING,5
-0.070275,0.018,-0.29125,0.301,STANDING,5
-0.0877,0.0473,-0.202433333,0.226333333,STANDING,5
-0.1274,0.03055,-0.098875,0.16875,STANDING,5
-0.20828,0.02084,0.04496,0.217,STANDING,5
-0.29135,0.087,0.19215,0.362,STANDING,5
-0.30485,0.120175,0.23485,0.404,STANDING,5
-0.2927,0.096475,0.04995,0.3195,STANDING,5
-0.250566667,0.073,-0.116566667,0.287333333,STANDING,5
-0.21975,0.06845,-0.17395,0.2885,STANDING,5
-0.189242857,0.087471429,-0.1091,0.239428571,STANDING,5
-0.17725,0.0979,0.03705,0.207,STANDING,5
-0.1172,0.0722,0.0445,0.14475,STANDING,5
0.0283,-0.02945,-0.012825,0.0695,STANDING,5
0.233725,-0.150175,-0.048,0.2825,STANDING,5
0.4337,-0.151675,-0.0419,0.463,STANDING,5
0.662375,-0.126925,0.025575,0.67525,STANDING,5
0.818225,-0.190725,0.066225,0.843,STANDING,5
0.853475,-0.2748,0.0404,0.898,STANDING,5
0.769525,-0.348175,-0.01045,0.84575,STANDING,5
0.44465,-0.3169,-0.04915,0.5505,STANDING,5
-0.033675,-0.105925,-0.009625,0.17325,STANDING,5
-0.329633333,0.0773,0.087,0.350333333,STANDING,5
-0.514,0.2321,0.16782,0.589,STANDING,5
-0.5492,0.29035,0.15715,0.641,STANDING,5
-0.47062,0.27424,0.0618,0.5506,STANDING,5
-0.44135,0.255,-0.06915,0.515,STANDING,5
-0.4736,0.19342,-0.11872,0.5256,STANDING,5
-0.472066667,0.161966667,-0.079266667,0.505333333,STANDING,5
-0.44868,0.17026,-0.08166,0.4872,STANDING,5
-0.3593,0.03025,-0.166425,0.4055,STANDING,5
-0.267475,-0.11705,-0.2469,0.38375,STANDING,5
-0.041075,-0.06995,-0.0944,0.13675,STANDING,5
0.1537,-0.021,0.0247,0.157666667,STANDING,5
0.2694,-0.01435,0.0597,0.276,STANDING,5
0.443042857,-0.042585714,0.090728571,0.454285714,STANDING,5
0.522025,-0.097225,0.07935,0.5375,STANDING,5
0.483425,-0.187775,0.02475,0.52,STANDING,5
0.441033333,-0.227866667,-0.014933333,0.496666667,STANDING,5
