ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
-0.0985,-0.04,0.00395,0.1075,STANDING,6
-0.055525,-0.019675,-0.0036,0.0595,STANDING,6
-0.00428,0.02416,-0.03382,0.0484,STANDING,6
0.029525,-0.01265,-0.0359,0.05225,STANDING,6
0.016525,-0.00915,0.007825,0.03075,STANDING,6
-0.02705,0.0434,0.03005,0.06275,STANDING,6
-0.06895,0.0093,0.03715,0.0815,STANDING,6
-0.058633333,-0.015633333,0.043733333,0.075666667,STANDING,6
-0.038225,0.0094,0.01465,0.04575,STANDING,6
-0.022275,0.0131,-0.049225,0.05675,STANDING,6
-0.00066,-0.04758,-0.08196,0.099,STANDING,6
0.02535,-0.069675,-0.030725,0.08175,STANDING,6
0.0393,-0.028475,-0.00275,0.0495,STANDING,6
0.072975,-0.055775,-0.00515,0.0925,STANDING,6
0.08425,-0.052025,-0.02095,0.10175,STANDING,6
0.0468,-0.0294,-0.03735,0.0675,STANDING,6
0.01985,-0.0263,-0.00975,0.03675,STANDING,6
0.05565,-0.0282,0.04575,0.07975,STANDING,6
0.098575,0.029375,0.091375,0.13875,STANDING,6
0.04325,0.011575,0.0721,0.08925,STANDING,6
-0.01895,-0.050625,0.025375,0.06225,STANDING,6
-0.034175,-0.0549,-0.020975,0.071,STANDING,6
0.03995,-0.0764,-0.0487,0.10175,STANDING,6
0.083325,-0.0782,-0.034775,0.12075,STANDING,6
0.116475,-0.026525,0.009625,0.1235,STANDING,6
0.1324,0.044825,0.05625,0.1515,STANDING,6
0.116075,0.070825,0.03615,0.141,STANDING,6
0.05755,0.055075,0.02205,0.08425,STANDING,6
-0.037025,0.0302,-0.02635,0.0585,STANDING,6
-0.12145,-0.004875,-0.0633,0.138,STANDING,6
-0.18015,-0.05995,-0.08545,0.2085,STANDING,6
-0.16915,-0.0372,-0.074575,0.18925,STANDING,6
-0.1249,-0.00825,-0.012675,0.128,STANDING,6
-0.021,-0.0321,0.041325,0.06725,STANDING,6
0.112875,-0.009525,0.01515,0.11825,STANDING,6
0.152525,0.036425,-0.047375,0.165,STANDING,6
0.08685,0.00685,-0.070775,0.11375,STANDING,6
0.0435,-0.026625,0.007475,0.06,STANDING,6
0.033225,0.008375,0.0649,0.0745,STANDING,6
-0.003125,-0.017725,0.07475,0.0815,STANDING,6
0.001125,-0.062475,0.058925,0.088,STANDING,6
0.094225,-0.050175,0.03415,0.11725,STANDING,6
0.188,-0.01695,-0.0304,0.19225,STANDING,6
0.219175,-0.04305,-0.0853,0.24025,STANDING,6
0.212775,-0.113925,-0.082175,0.25575,STANDING,6
0.146425,-0.103175,-0.02775,0.1815,STANDING,6
0.065,-0.027225,0.018675,0.07625,STANDING,6
0.0449,0.036425,0.042325,0.073,STANDING,6
0.067075,0.062475,0.03905,0.101,STANDING,6
0.107275,0.01695,-0.012925,0.113,STANDING,6
0.11725,-0.031475,-0.083025,0.14875,STANDING,6
0.086775,-0.028825,-0.131,0.161,STANDING,6
0.001475,-0.05595,-0.1596,0.17325,STANDING,6
-0.109275,-0.08015,-0.12925,0.19125,STANDING,6
-0.1763,-0.041975,-0.057625,0.19275,STANDING,6
-0.197625,0.0359,-0.0019,0.20125,STANDING,6
-0.15705,0.064,0.0409,0.1755,STANDING,6
-0.100125,0.085175,0.0369,0.1375,STANDING,6
-0.057825,0.074975,-0.015025,0.0975,STANDING,6
-0.02915,0.02495,-0.061,0.07525,STANDING,6
0.004525,-0.008475,-0.062825,0.06525,STANDING,6
-0.02455,0.059575,-0.08095,0.10775,STANDING,6
-0.13685,0.128625,-0.113925,0.2205,STANDING,6
-0.226725,0.094325,-0.1253,0.27675,STANDING,6
-0.253475,0.063925,-0.076225,0.2725,STANDING,6
-0.223725,0.045375,-0.046625,0.233,STANDING,6
-0.1204,0.002025,-0.0622,0.13975,STANDING,6
-0.008275,-0.079575,-0.09075,0.12775,STANDING,6
0.1319,-0.121925,-0.085725,0.20225,STANDING,6
0.2273,-0.083375,-0.040475,0.2465,STANDING,6
0.21895,-0.027,-0.0074,0.22125,STANDING,6
0.142025,-0.015125,0.033125,0.1475,STANDING,6
