ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
-2.9326,0.7795,0.18146,3.3688,WALKING_UPSTAIRS,3
-1.744825,-3.4258,0.570025,3.989,WALKING_UPSTAIRS,3
-0.198466667,-4.2521,0.621733333,4.312666667,WALKING_UPSTAIRS,3
-0.07954,-1.93378,-0.17052,1.9638,WALKING_UPSTAIRS,3
-0.52835,0.19515,0.27545,0.68075,WALKING_UPSTAIRS,3
-0.97475,0.49025,0.3364,1.14875,WALKING_UPSTAIRS,3
-1.429833333,0.5044,0.038633333,1.517666667,WALKING_UPSTAIRS,3
-1.5229,0.40815,0.447075,1.64525,WALKING_UPSTAIRS,3
-1.2563,0.61125,0.83045,1.63425,WALKING_UPSTAIRS,3
-1.0619,1.093725,0.098475,1.542,WALKING_UPSTAIRS,3
-0.594075,1.236175,0.375675,1.42825,WALKING_UPSTAIRS,3
-0.5383,1.520625,0.1442,1.62175,WALKING_UPSTAIRS,3
-0.531425,1.967875,0.438,2.087,WALKING_UPSTAIRS,3
-0.421975,2.0028,0.058725,2.055,WALKING_UPSTAIRS,3
-0.1648,1.7978,-0.4714,1.8905,WALKING_UPSTAIRS,3
0.5102,1.0621,-0.46855,1.29975,WALKING_UPSTAIRS,3
0.56865,0.449,-0.822725,1.10725,WALKING_UPSTAIRS,3
0.1719,0.514175,-0.2717,0.6735,WALKING_UPSTAIRS,3
-0.519225,1.400225,0.11895,1.5045,WALKING_UPSTAIRS,3
-1.3397,1.901125,0.273975,2.36775,WALKING_UPSTAIRS,3
-1.378425,1.125625,-0.88155,2.0905,WALKING_UPSTAIRS,3
1.184475,0.4155,-1.49445,2.08075,WALKING_UPSTAIRS,3
2.670975,0.48095,-0.6196,2.7935,WALKING_UPSTAIRS,3
2.3513,0.36345,-0.6114,2.4695,WALKING_UPSTAIRS,3
1.733425,-0.329125,-1.028375,2.0695,WALKING_UPSTAIRS,3
1.15975,-1.465325,-1.639475,2.51975,WALKING_UPSTAIRS,3
