ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
1.27285,-0.5636,0.144975,1.8045,WALKING_UPSTAIRS,4
0.37985,0.39065,0.041125,0.628,WALKING_UPSTAIRS,4
0.2485,-1.602,-0.00534,1.6508,WALKING_UPSTAIRS,4
-0.251766667,-3.540866667,-0.4925,3.585,WALKING_UPSTAIRS,4
-0.98562,-3.31364,-0.12834,3.4728,WALKING_UPSTAIRS,4
-1.945,-0.473666667,1.2018,2.729333333,WALKING_UPSTAIRS,4
-2.7642,5.269733333,0.171933333,5.984666667,WALKING_UPSTAIRS,4
-0.62155,1.18775,-1.166983333,4.063,WALKING_UPSTAIRS,4
2.7963,-3.197325,-2.527175,4.97375,WALKING_UPSTAIRS,4
1.3192,0.348333333,-1.206866667,2.177333333,WALKING_UPSTAIRS,4
-0.2723,2.280175,1.120675,2.63225,WALKING_UPSTAIRS,4
0.1071,0.680625,2.56695,2.828,WALKING_UPSTAIRS,4
-0.40142,-1.7252,2.49046,3.1628,WALKING_UPSTAIRS,4
-2.049075,-3.493275,2.12455,4.6205,WALKING_UPSTAIRS,4
-3.16675,-3.61525,0.9105,4.90625,WALKING_UPSTAIRS,4
-2.280833333,-4.652833333,-0.5911,5.279,WALKING_UPSTAIRS,4
0.04416,-4.57408,-1.60984,4.9332,WALKING_UPSTAIRS,4
0.812025,-3.68525,-0.690075,3.84875,WALKING_UPSTAIRS,4
0.3514,-1.91255,-1.513175,2.557,WALKING_UPSTAIRS,4
0.194875,-1.303075,-3.59925,3.83725,WALKING_UPSTAIRS,4
-1.382366667,-0.235466667,-4.3429,4.77,WALKING_UPSTAIRS,4
-3.98962,2.3964,-2.76014,5.5004,WALKING_UPSTAIRS,4
-1.154225,0.9668,0.21305,1.58325,WALKING_UPSTAIRS,4
-0.39645,1.0152,1.40455,1.78525,WALKING_UPSTAIRS,4
-0.029425,0.902175,1.9949,2.20425,WALKING_UPSTAIRS,4
0.7209,0.513125,1.557625,1.8135,WALKING_UPSTAIRS,4
1.26275,0.3222,0.823325,1.559,WALKING_UPSTAIRS,4
1.5887,0.06755,0.3926,1.6435,WALKING_UPSTAIRS,4
1.646925,-0.205075,0.220475,1.67725,WALKING_UPSTAIRS,4
1.795825,-0.686075,-0.334275,2.0115,WALKING_UPSTAIRS,4
1.53015,-0.925175,-1.103875,2.10575,WALKING_UPSTAIRS,4
-0.073725,-0.042775,-0.512975,0.628,WALKING_UPSTAIRS,4
-0.8234,0.4226,0.048225,0.9345,WALKING_UPSTAIRS,4
-1.96806,2.20478,-0.38804,3.014,WALKING_UPSTAIRS,4
