ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
-2.38712,-1.5883,-2.32314,3.931,WALKING_UPSTAIRS,6
-0.2005,-2.9681,0.438266667,3.138666667,WALKING_UPSTAIRS,6
-1.32036,-1.70438,-1.93186,3.1354,WALKING_UPSTAIRS,6
-1.03645,-0.23305,1.5575,1.898,WALKING_UPSTAIRS,6
0.525783333,-0.471316667,2.28075,2.5205,WALKING_UPSTAIRS,6
2.575533333,-0.395233333,3.593766667,4.445,WALKING_UPSTAIRS,6
3.772525,0.581,3.731775,5.3595,WALKING_UPSTAIRS,6
4.9411,1.99972,2.94304,6.1146,WALKING_UPSTAIRS,6
5.53415,3.05245,2.082475,6.66,WALKING_UPSTAIRS,6
5.56615,3.8225,1.7891,6.98925,WALKING_UPSTAIRS,6
4.7009,4.55565,2.337625,6.96825,WALKING_UPSTAIRS,6
2.88165,4.419425,3.24355,6.224,WALKING_UPSTAIRS,6
0.973025,3.32845,3.52015,4.95225,WALKING_UPSTAIRS,6
0.1711,2.443625,3.134125,3.9835,WALKING_UPSTAIRS,6
-0.528275,1.7365,3.554475,4.0045,WALKING_UPSTAIRS,6
-0.7859,1.539775,3.330025,3.7595,WALKING_UPSTAIRS,6
-0.9322,2.220625,0.495225,2.84375,WALKING_UPSTAIRS,6
-2.5087,2.0837,-2.73895,4.42925,WALKING_UPSTAIRS,6
-7.01305,-4.65435,-3.639375,9.69525,WALKING_UPSTAIRS,6
-5.95565,-13.531775,4.2316,15.55375,WALKING_UPSTAIRS,6
0.469425,-14.400575,-0.177825,14.82375,WALKING_UPSTAIRS,6
2.45285,-5.19825,-6.081125,8.684,WALKING_UPSTAIRS,6
2.275525,2.3805,-2.935575,4.7175,WALKING_UPSTAIRS,6
3.32085,4.761,-0.346,5.8555,WALKING_UPSTAIRS,6
5.2271,3.8472,1.552833333,6.725,WALKING_UPSTAIRS,6
5.127633333,0.8797,4.906083333,7.342333333,WALKING_UPSTAIRS,6
2.566066667,-1.6086,5.9174,6.682,WALKING_UPSTAIRS,6
0.021775,-2.581475,4.1396,4.95075,WALKING_UPSTAIRS,6
-1.6141,-2.723975,0.8754,3.4795,WALKING_UPSTAIRS,6
-2.303275,-1.9664,-3.784175,4.925,WALKING_UPSTAIRS,6
-1.9611,-0.83585,-5.014775,5.45275,WALKING_UPSTAIRS,6
-1.6122,0.1469,-1.7356,2.5275,WALKING_UPSTAIRS,6
-1.17684,0.87878,2.07382,2.6216,WALKING_UPSTAIRS,6
-0.8343,0.079233333,4.008933333,4.105,WALKING_UPSTAIRS,6
-0.08424,-0.525,3.91548,3.9614,WALKING_UPSTAIRS,6
0.7933,-0.23025,1.5642,1.9405,WALKING_UPSTAIRS,6
1.3746,0.650233333,-1.965633333,2.531,WALKING_UPSTAIRS,6
0.21206,1.98624,-3.95402,4.4662,WALKING_UPSTAIRS,6
-0.744666667,2.877366667,-3.162333333,4.351,WALKING_UPSTAIRS,6
-0.7707,2.98988,-1.74352,3.5712,WALKING_UPSTAIRS,6
-0.969875,2.73995,-0.361425,2.943,WALKING_UPSTAIRS,6
-1.10285,2.2454,0.092475,2.5035,WALKING_UPSTAIRS,6
-0.835975,1.731575,0.278175,1.9455,WALKING_UPSTAIRS,6
-0.9087,1.1388,0.332875,1.5045,WALKING_UPSTAIRS,6
-1.55405,0.637375,-0.0984,1.7035,WALKING_UPSTAIRS,6
-2.255,0.117925,-0.60515,2.34725,WALKING_UPSTAIRS,6
-2.27315,-0.90695,-0.6324,2.56125,WALKING_UPSTAIRS,6
-1.599475,-2.708775,-0.650575,3.26,WALKING_UPSTAIRS,6
-0.51865,-4.9787,-1.57385,5.25875,WALKING_UPSTAIRS,6
-0.16065,-6.7965,-1.9793,7.0825,WALKING_UPSTAIRS,6
-0.695575,-6.82825,-1.495225,7.02775,WALKING_UPSTAIRS,6
-1.1314,-5.641625,-1.643,5.99125,WALKING_UPSTAIRS,6
-1.079025,-4.171025,-2.228475,4.86025,WALKING_UPSTAIRS,6
-1.259775,-2.426125,-2.29485,3.5975,WALKING_UPSTAIRS,6
-1.368533333,-0.767733333,-2.468933333,2.947333333,WALKING_UPSTAIRS,6
-1.31536,0.37816,-2.31576,2.706,WALKING_UPSTAIRS,6
-1.014575,0.70015,-1.2038,1.7285,WALKING_UPSTAIRS,6
-0.47565,0.27765,-0.310825,0.662,WALKING_UPSTAIRS,6
0.2322,-0.50625,0.52605,0.8165,WALKING_UPSTAIRS,6
0.796575,-1.3371,0.57175,1.661,WALKING_UPSTAIRS,6
1.541425,-1.4016,0.7036,2.21325,WALKING_UPSTAIRS,6
2.261966667,-1.055166667,1.5318,2.947666667,WALKING_UPSTAIRS,6
2.27532,-0.52158,2.9701,3.8018,WALKING_UPSTAIRS,6
1.035875,-0.345475,3.034275,3.24325,WALKING_UPSTAIRS,6
-1.22815,-0.94425,0.316225,1.9085,WALKING_UPSTAIRS,6
-2.61905,-1.48555,-0.976225,3.169,WALKING_UPSTAIRS,6
-1.6095,-1.828725,-0.370675,2.51825,WALKING_UPSTAIRS,6
1.322675,-1.5031,0.377675,2.221,WALKING_UPSTAIRS,6
3.18215,-0.03975,1.5939,3.61175,WALKING_UPSTAIRS,6
3.0926,1.5642,3.011875,4.61075,WALKING_UPSTAIRS,6
3.128375,2.449575,3.604775,5.36625,WALKING_UPSTAIRS,6
3.627633333,2.6901,3.454166667,5.687333333,WALKING_UPSTAIRS,6
3.8419,2.5799,2.88148,5.4552,WALKING_UPSTAIRS,6
3.7931,2.375933333,2.058666667,4.928333333,WALKING_UPSTAIRS,6
3.662175,2.542975,1.642125,4.7545,WALKING_UPSTAIRS,6
3.11572,3.09738,1.54504,4.6658,WALKING_UPSTAIRS,6
1.94855,3.24025,2.105425,4.3495,WALKING_UPSTAIRS,6
0.36475,3.0795,2.578,4.0585,WALKING_UPSTAIRS,6
-0.78315,2.7308,3.504475,4.52325,WALKING_UPSTAIRS,6
-1.021,2.3429,3.3917,4.248,WALKING_UPSTAIRS,6
-1.545033333,1.965583333,-1.66895,4.277333333,WALKING_UPSTAIRS,6
-4.375066667,0.841366667,-6.166366667,7.990666667,WALKING_UPSTAIRS,6
-6.52905,-5.794975,1.3182,9.212,WALKING_UPSTAIRS,6
-3.40236,-11.94746,4.38556,13.2888,WALKING_UPSTAIRS,6
-1.736,-8.688833333,-1.4083,9.263,WALKING_UPSTAIRS,6
0.528,0.10796,-6.68112,7.2006,WALKING_UPSTAIRS,6
4.52925,3.7652,-3.9516,7.247,WALKING_UPSTAIRS,6
7.4251,2.603125,-0.1921,7.9845,WALKING_UPSTAIRS,6
7.449075,0.13315,3.8204,8.4765,WALKING_UPSTAIRS,6
5.6143,-1.757266667,6.475133333,8.784,WALKING_UPSTAIRS,6
2.722775,-2.615375,6.7965,7.82925,WALKING_UPSTAIRS,6
-4.6259,-2.4769,7.5512,9.48075,WALKING_UPSTAIRS,6
2.33744,-2.56746,-1.74558,4.4182,WALKING_UPSTAIRS,6
-1.2611,-0.686533333,-6.559766667,6.774666667,WALKING_UPSTAIRS,6
-3.17025,0.238475,-4.447925,5.5325,WALKING_UPSTAIRS,6
-2.647975,0.098525,-0.4049,2.81825,WALKING_UPSTAIRS,6
-1.34815,-0.433025,2.1315,2.61225,WALKING_UPSTAIRS,6
-1.03676,-0.41976,3.4543,3.641,WALKING_UPSTAIRS,6
-1.027733333,0.5796,3.223433333,3.443,WALKING_UPSTAIRS,6
-0.48472,1.74328,1.30098,2.429,WALKING_UPSTAIRS,6
0.10465,2.619825,-1.023675,2.83225,WALKING_UPSTAIRS,6
0.143133333,2.7928,-1.916066667,3.392,WALKING_UPSTAIRS,6
-0.0953,2.4443,-2.31558,3.3744,WALKING_UPSTAIRS,6
0.004033333,1.5855,-2.2159,2.728333333,WALKING_UPSTAIRS,6
0.317175,0.69405,-1.929725,2.09275,WALKING_UPSTAIRS,6
0.458225,0.01565,-1.474575,1.5475,WALKING_UPSTAIRS,6
-0.0332,-0.113625,-0.921425,0.95825,WALKING_UPSTAIRS,6
-0.960425,-0.12385,-0.68775,1.19875,WALKING_UPSTAIRS,6
-1.62295,-0.1358,-0.8425,1.834,WALKING_UPSTAIRS,6
-1.670775,-0.035225,-1.0835,1.9935,WALKING_UPSTAIRS,6
-1.6891,-0.146875,-1.2493,2.1105,WALKING_UPSTAIRS,6
-2.21335,-0.893325,-1.053075,2.62175,WALKING_UPSTAIRS,6
-3.12186,-2.14386,-0.5968,3.849,WALKING_UPSTAIRS,6
-4.001,-3.6984,0.0259,5.452,WALKING_UPSTAIRS,6
-4.421433333,-4.903933333,0.233066667,6.608666667,WALKING_UPSTAIRS,6
-4.45054,-6.12042,-0.24638,7.5824,WALKING_UPSTAIRS,6
-2.87525,-6.47825,-1.35625,7.2595,WALKING_UPSTAIRS,6
0.41906,-5.38302,-3.76652,6.7742,WALKING_UPSTAIRS,6
2.94605,-2.985225,-6.2928,7.60075,WALKING_UPSTAIRS,6
2.600475,-0.82095,-4.919375,5.638,WALKING_UPSTAIRS,6
1.774325,0.223875,-1.420275,2.3875,WALKING_UPSTAIRS,6
1.058566667,0.3208,1.130566667,1.652333333,WALKING_UPSTAIRS,6
0.4192,-0.21082,2.8021,2.8564,WALKING_UPSTAIRS,6
0.5839,-1.010575,3.32975,3.537,WALKING_UPSTAIRS,6
2.210733333,-1.021233333,5.961466667,6.462666667,WALKING_UPSTAIRS,6
1.45785,-0.48675,3.2102,3.56725,WALKING_UPSTAIRS,6
0.463625,0.1929,1.058275,1.186,WALKING_UPSTAIRS,6
-1.94672,-0.13992,-1.6452,2.8902,WALKING_UPSTAIRS,6
-2.0977,-1.847675,-2.908725,4.10875,WALKING_UPSTAIRS,6
0.816425,-2.2227,0.47975,2.6935,WALKING_UPSTAIRS,6
1.7014,-1.3105,3.44585,4.1045,WALKING_UPSTAIRS,6
1.098133333,-0.2241,4.477133333,4.625666667,WALKING_UPSTAIRS,6
0.94555,0.77365,4.1423,4.34175,WALKING_UPSTAIRS,6
2.71412,1.89356,2.7837,4.3858,WALKING_UPSTAIRS,6
3.82595,2.659025,2.04985,5.09125,WALKING_UPSTAIRS,6
4.01935,2.800775,2.1191,5.338,WALKING_UPSTAIRS,6
4.580775,2.763475,2.142525,5.764,WALKING_UPSTAIRS,6
4.8195,2.816125,2.0456,5.9455,WALKING_UPSTAIRS,6
3.78428,2.91742,2.05054,5.2108,WALKING_UPSTAIRS,6
2.34115,2.8639,2.059525,4.24225,WALKING_UPSTAIRS,6
1.210725,2.801175,2.070475,3.69725,WALKING_UPSTAIRS,6
0.2813,3.01035,1.887375,3.57375,WALKING_UPSTAIRS,6
-0.1494,3.108975,2.172475,3.808,WALKING_UPSTAIRS,6
-0.3499,2.687625,2.781925,3.89275,WALKING_UPSTAIRS,6
-2.043833333,2.226666667,-1.151733333,3.966666667,WALKING_UPSTAIRS,6
-6.103325,-0.305575,-5.10825,8.7335,WALKING_UPSTAIRS,6
-8.404933333,-8.510333333,1.972066667,12.24633333,WALKING_UPSTAIRS,6
-3.66588,-13.49604,2.10762,14.336,WALKING_UPSTAIRS,6
-0.77274,-6.0534,-4.40826,8.3554,WALKING_UPSTAIRS,6
1.10605,2.875325,-4.70725,5.80825,WALKING_UPSTAIRS,6
3.037425,5.34015,-1.98705,6.54825,WALKING_UPSTAIRS,6
5.351825,4.110775,1.17895,6.975,WALKING_UPSTAIRS,6
5.529825,1.048325,4.7744,7.5035,WALKING_UPSTAIRS,6
2.718675,-1.702125,7.01435,7.894,WALKING_UPSTAIRS,6
-6.14155,-2.884125,8.554625,11.6025,WALKING_UPSTAIRS,6
4.4329,-3.888866667,0.864233333,5.987,WALKING_UPSTAIRS,6
2.550975,-2.762525,-4.612575,6.5465,WALKING_UPSTAIRS,6
-1.22676,-0.51466,-6.57632,6.7878,WALKING_UPSTAIRS,6
-2.364066667,0.4223,-1.883266667,3.168,WALKING_UPSTAIRS,6
-2.25168,0.53024,1.77022,3.0538,WALKING_UPSTAIRS,6
-1.72725,-0.30225,3.88785,4.27175,WALKING_UPSTAIRS,6
-1.3374,-0.251125,4.1915,4.412,WALKING_UPSTAIRS,6
-0.639833333,0.5021,3.401733333,3.510333333,WALKING_UPSTAIRS,6
0.65692,1.46168,1.12012,2.2308,WALKING_UPSTAIRS,6
1.38345,2.19105,-1.62435,3.09525,WALKING_UPSTAIRS,6
1.3196,2.3356,-2.7634,3.851,WALKING_UPSTAIRS,6
0.648857143,2.058428571,-2.723171429,3.484857143,WALKING_UPSTAIRS,6
0.22865,0.819175,-1.94285,2.13175,WALKING_UPSTAIRS,6
0.133925,-0.05745,-1.200625,1.21975,WALKING_UPSTAIRS,6
-0.19305,-0.164275,-0.89405,0.95575,WALKING_UPSTAIRS,6
-1.113575,0.1384,-0.91495,1.45625,WALKING_UPSTAIRS,6
-1.50975,0.0352,-1.008,1.82075,WALKING_UPSTAIRS,6
-1.308125,-0.479675,-1.46345,2.03025,WALKING_UPSTAIRS,6
-1.474775,-1.153875,-1.764,2.57975,WALKING_UPSTAIRS,6
-2.2266,-2.072475,-1.560325,3.4275,WALKING_UPSTAIRS,6
-2.677633333,-3.075333333,-1.0553,4.223333333,WALKING_UPSTAIRS,6
-2.81044,-4.44996,0.22032,5.289,WALKING_UPSTAIRS,6
-2.912875,-5.5076,0.846225,6.2885,WALKING_UPSTAIRS,6
-2.6089,-5.609566667,0.234066667,6.196666667,WALKING_UPSTAIRS,6
-1.05668,-5.25984,-1.76432,5.7996,WALKING_UPSTAIRS,6
1.105666667,-3.9883,-5.308566667,6.776,WALKING_UPSTAIRS,6
1.493533333,-2.4331,-6.464533333,7.078333333,WALKING_UPSTAIRS,6
0.749716667,-0.638933333,-4.503666667,4.6275,WALKING_UPSTAIRS,6
0.60725,0.205575,-0.99595,1.2865,WALKING_UPSTAIRS,6
0.4681,-0.047775,1.011125,1.15975,WALKING_UPSTAIRS,6
0.452033333,-0.746466667,1.82,2.02,WALKING_UPSTAIRS,6
1.242,-1.2961,2.3289,2.955,WALKING_UPSTAIRS,6
2.202575,-1.272475,2.895725,3.8585,WALKING_UPSTAIRS,6
2.459575,-0.84165,3.338,4.2355,WALKING_UPSTAIRS,6
1.31035,-0.577925,3.0295,3.37525,WALKING_UPSTAIRS,6
-1.295066667,-0.9334,0.5035,1.993666667,WALKING_UPSTAIRS,6
-2.16006,-1.58964,0.68902,3.5222,WALKING_UPSTAIRS,6
-3.131425,-2.1925,-0.491325,4.3725,WALKING_UPSTAIRS,6
-0.92125,-2.1663,-0.586425,2.63225,WALKING_UPSTAIRS,6
1.862,-1.030533333,0.969733333,2.422,WALKING_UPSTAIRS,6
2.541675,0.574675,2.576225,3.704,WALKING_UPSTAIRS,6
2.62196,2.44096,4.282,5.5928,WALKING_UPSTAIRS,6
2.9549,3.5378,5.0735,6.85575,WALKING_UPSTAIRS,6
3.490125,3.723475,4.6907,6.9375,WALKING_UPSTAIRS,6
3.942575,3.043625,2.922975,5.81,WALKING_UPSTAIRS,6
4.736775,2.22985,0.92175,5.339,WALKING_UPSTAIRS,6
4.897375,2.19955,0.168025,5.374,WALKING_UPSTAIRS,6
3.9415,2.8154,0.46995,4.884,WALKING_UPSTAIRS,6
3.080175,3.24375,0.9796,4.5825,WALKING_UPSTAIRS,6
2.537833333,3.0885,1.428033333,4.250666667,WALKING_UPSTAIRS,6
1.749275,2.824325,1.7444,3.7545,WALKING_UPSTAIRS,6
1.40664,2.6751,2.20304,3.757,WALKING_UPSTAIRS,6
0.19305,2.685825,3.59405,4.5115,WALKING_UPSTAIRS,6
-2.362725,2.7579,0.277325,4.58575,WALKING_UPSTAIRS,6
-8.9271,0.355375,-7.207525,12.40675,WALKING_UPSTAIRS,6
-9.112533333,-10.83653333,4.783833333,15.206,WALKING_UPSTAIRS,6
-3.13908,-16.95118,3.04562,17.7168,WALKING_UPSTAIRS,6
-2.91505,-7.5576,-5.79255,11.04525,WALKING_UPSTAIRS,6
-1.664875,3.072,-5.6629,7,WALKING_UPSTAIRS,6
0.874475,6.29715,-1.9194,6.71875,WALKING_UPSTAIRS,6
3.515966667,5.8846,-0.7453,6.949333333,WALKING_UPSTAIRS,6
5.79872,2.4166,1.7596,6.8586,WALKING_UPSTAIRS,6
4.35565,-1.651275,6.817025,8.364,WALKING_UPSTAIRS,6
1.75455,-3.5231,7.449875,8.4545,WALKING_UPSTAIRS,6
0.112533333,-3.104933333,5.262866667,6.116,WALKING_UPSTAIRS,6
-0.47575,-1.594375,2.068775,2.76625,WALKING_UPSTAIRS,6
-0.3498,-0.3852,-4.1939,4.238,WALKING_UPSTAIRS,6
-0.699257143,-0.152942857,-5.846242857,5.915142857,WALKING_UPSTAIRS,6
-1.0547,0.090225,-0.20675,1.33725,WALKING_UPSTAIRS,6
-1.547525,-0.269625,2.153775,2.678,WALKING_UPSTAIRS,6
-2.343075,-0.7236,3.22955,4.057,WALKING_UPSTAIRS,6
-2.662,-0.332933333,2.720566667,3.827333333,WALKING_UPSTAIRS,6
-1.8349,0.92636,1.04924,2.4626,WALKING_UPSTAIRS,6
-1.0038,2.1015,-0.840266667,2.492333333,WALKING_UPSTAIRS,6
-1.61456,2.92662,-2.25386,4.0408,WALKING_UPSTAIRS,6
-3.106666667,3.177133333,-2.542833333,5.132666667,WALKING_UPSTAIRS,6
-3.277675,2.984775,-1.250575,4.62475,WALKING_UPSTAIRS,6
-1.779516667,2.648633333,1.02245,3.4695,WALKING_UPSTAIRS,6
-0.633966667,2.126733333,2.873633333,3.65,WALKING_UPSTAIRS,6
-0.01525,1.373875,3.03065,3.3315,WALKING_UPSTAIRS,6
0.31675,0.32785,1.4588,1.60025,WALKING_UPSTAIRS,6
1.581525,-0.7601,-2.436075,3.0265,WALKING_UPSTAIRS,6
2.37286,-1.16824,-3.99108,4.7938,WALKING_UPSTAIRS,6
1.05545,-0.8823,-0.75865,1.7685,WALKING_UPSTAIRS,6
-0.66435,-0.678875,1.823175,2.089,WALKING_UPSTAIRS,6
-1.499166667,-0.1481,1.997866667,2.517,WALKING_UPSTAIRS,6
-1.8433,0.3299,0.702933333,2.050333333,WALKING_UPSTAIRS,6
-2.328316667,0.433083333,-0.9717,2.5815,WALKING_UPSTAIRS,6
-2.85235,-0.868125,-0.42715,3.0485,WALKING_UPSTAIRS,6
-3.141475,-2.120525,0.176275,3.798,WALKING_UPSTAIRS,6
-3.708433333,-2.371533333,0.334933333,4.417333333,WALKING_UPSTAIRS,6
-4.766366667,-2.157566667,0.166266667,5.237666667,WALKING_UPSTAIRS,6
-5.949933333,-1.842416667,0.111083333,6.235333333,WALKING_UPSTAIRS,6
-5.3529,-0.924875,-0.29095,5.4435,WALKING_UPSTAIRS,6
-4.175525,-0.2929,-0.50085,4.21775,WALKING_UPSTAIRS,6
-2.465533333,-1.00E-04,-0.4826,2.514333333,WALKING_UPSTAIRS,6
-0.341175,0.211475,-0.561175,0.9235,WALKING_UPSTAIRS,6
1.5398,-0.05216,-0.5643,1.6866,WALKING_UPSTAIRS,6
1.574233333,-0.937466667,0.5376,1.941,WALKING_UPSTAIRS,6
1.244475,-1.146125,1.794775,2.486,WALKING_UPSTAIRS,6
1.118075,-0.774275,2.4448,2.80025,WALKING_UPSTAIRS,6
1.79128,-0.72312,1.86916,2.7282,WALKING_UPSTAIRS,6
2.6083,-1.141675,0.87255,2.98425,WALKING_UPSTAIRS,6
2.5412,-1.210975,0.886875,2.9555,WALKING_UPSTAIRS,6
1.88045,-0.709075,1.55855,2.567,WALKING_UPSTAIRS,6
1.303966667,-0.0701,2.088466667,2.470666667,WALKING_UPSTAIRS,6
0.8582,0.488225,2.335725,2.54375,WALKING_UPSTAIRS,6
-0.0458,0.65256,2.11286,2.2558,WALKING_UPSTAIRS,6
-1.53415,0.599875,0.935875,1.955,WALKING_UPSTAIRS,6
-1.788975,0.403175,0.348375,1.86925,WALKING_UPSTAIRS,6
-0.575166667,0.309766667,0.7711,1.084666667,WALKING_UPSTAIRS,6
0.752433333,0.331033333,1.2258,1.492333333,WALKING_UPSTAIRS,6
1.64252,0.75684,1.66336,2.4612,WALKING_UPSTAIRS,6
1.82738,1.53364,1.924,3.0698,WALKING_UPSTAIRS,6
2.24465,1.682825,1.4066,3.14825,WALKING_UPSTAIRS,6
2.729533333,1.493633333,0.6619,3.190333333,WALKING_UPSTAIRS,6
2.9676,1.08972,-0.47024,3.2242,WALKING_UPSTAIRS,6
2.1389,0.636825,-1.330975,2.62125,WALKING_UPSTAIRS,6
0.336575,0.4081,-1.544625,1.715,WALKING_UPSTAIRS,6
-1.573825,0.1146,-1.652825,2.3155,WALKING_UPSTAIRS,6
