ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
1.87355,-3.602225,-4.97345,6.422,WALKING,2
2.170575,-3.733775,-4.393875,6.19175,WALKING,2
5.897975,-5.863825,-2.619225,8.82325,WALKING,2
6.9134,-2.271325,-1.826275,7.574,WALKING,2
1.70248,-0.26296,-2.98942,3.9414,WALKING,2
-1.009033333,-3.4191,-1.717466667,4.159666667,WALKING,2
-2.3945,-5.908825,3.58615,7.44475,WALKING,2
-5.97706,-6.04126,7.78692,11.5806,WALKING,2
-9.013733333,-6.241633333,5.300266667,12.23366667,WALKING,2
-5.95852,-4.34094,-1.75198,7.9126,WALKING,2
-1.31025,-2.0358,-0.321725,2.8645,WALKING,2
1.88255,-1.02935,1.1905,2.556,WALKING,2
3.6295,-0.3786,4.7585,6.01,WALKING,2
0.958025,0.8514,4.813925,5.22075,WALKING,2
-2.982475,2.788725,4.94745,6.425,WALKING,2
-3.726725,3.831925,5.751225,7.85275,WALKING,2
-4.31115,4.821425,6.39665,9.1005,WALKING,2
-4.6295,5.932125,6.365375,9.85675,WALKING,2
-4.97885,6.2492,6.5613,10.339,WALKING,2
-4.5754,6.325333333,6.38925,10.09416667,WALKING,2
-3.818775,6.37405,5.1549,9.04625,WALKING,2
-3.149875,5.67935,3.34255,7.32275,WALKING,2
-1.01235,4.186125,0.28035,4.481,WALKING,2
0.472366667,1.398866667,-4.256733333,4.670666667,WALKING,2
3.71546,-6.04306,-12.08454,14.098,WALKING,2
7.464925,-19.9216,-13.726,26.348,WALKING,2
5.5535,-12.23725,-1.791925,13.8275,WALKING,2
4.361925,2.51205,-2.930725,6.4505,WALKING,2
0.6252,5.946366667,-3.539933333,7.084666667,WALKING,2
1.10834,-6.5148,-2.0637,7.9156,WALKING,2
0.491925,-8.06225,13.0078,16.30475,WALKING,2
-9.3962,1.312825,12.027675,16.14675,WALKING,2
-12.17635,4.1996,-4.115175,13.64375,WALKING,2
-11.72565,4.335325,7.2695,14.7425,WALKING,2
-9.253875,1.13845,9.277575,13.20075,WALKING,2
-6.5723,-2.364525,7.403275,10.2135,WALKING,2
-2.775225,-2.8154,5.429325,6.75625,WALKING,2
0.840725,-2.20675,2.805775,3.854,WALKING,2
4.23725,-1.5942,-0.40365,4.62825,WALKING,2
4.659625,-0.99795,-1.0222,4.89275,WALKING,2
4.2981,-0.7603,0.968825,4.491,WALKING,2
2.5571,0.740375,0.666075,2.893,WALKING,2
0.386875,2.5669,-1.034,2.85525,WALKING,2
-0.484475,2.778,-2.653375,3.88975,WALKING,2
-0.4936,1.678875,-2.99285,3.482,WALKING,2
0.116675,0.866725,-2.1449,2.36375,WALKING,2
1.685675,0.90805,-0.3113,2.0335,WALKING,2
2.482275,1.0517,0.03915,2.7195,WALKING,2
2.0622,0.733625,-1.861725,2.9505,WALKING,2
1.17465,0.229875,-2.6737,2.9395,WALKING,2
0.8408,-1.14875,-1.749725,2.30925,WALKING,2
1.15565,-2.801375,-3.0171,4.2825,WALKING,2
2.483225,-2.92675,-3.000425,4.943,WALKING,2
5.35865,-3.55525,-1.140975,6.5505,WALKING,2
5.799275,-3.790875,-1.9751,7.2675,WALKING,2
4.220175,-3.13345,-4.82215,7.15125,WALKING,2
4.467375,-6.337375,-3.429625,8.5505,WALKING,2
4.464975,-5.55135,-3.71595,8.14725,WALKING,2
1.530775,-0.8206,-4.722325,5.22325,WALKING,2
-1.77275,-2.6252,-2.632325,4.62775,WALKING,2
-4.48315,-6.008775,3.210125,8.238,WALKING,2
-8.129125,-5.747075,5.87455,11.60525,WALKING,2
-12.3054,-5.35055,3.9092,14.065,WALKING,2
-7.012525,-4.6551,-3.5501,9.65675,WALKING,2
-0.876925,-3.16835,-3.018275,4.735,WALKING,2
1.993725,-1.7039,4.17855,5.07675,WALKING,2
4.631625,-0.338625,5.6629,7.36,WALKING,2
0.785675,1.131675,3.777475,4.36925,WALKING,2
-3.3976,3.0998,4.5007,6.442,WALKING,2
-3.70025,3.83055,5.2324,7.4685,WALKING,2
-4.7302,4.316,5.05955,8.16325,WALKING,2
-5.345775,5.2868,5.8583,9.53525,WALKING,2
-4.671175,6.297875,6.27225,10.0445,WALKING,2
-4.03545,6.444525,6.656575,10.10975,WALKING,2
-3.33155,5.805725,6.00635,8.995,WALKING,2
-3.08225,4.795125,4.0719,7.02175,WALKING,2
-1.435675,3.2264,-0.63175,4.106,WALKING,2
1.6085,-0.07215,-7.087225,7.362,WALKING,2
4.954175,-6.170125,-12.7061,15.00475,WALKING,2
9.5759,-18.189275,-15.1073,26.4735,WALKING,2
3.0888,-11.729325,-0.1716,12.22225,WALKING,2
2.5069,2.769475,-4.51,6.572,WALKING,2
1.703025,5.478425,-3.557175,8.15875,WALKING,2
-8.723,-2.3274,3.9031,9.944,WALKING,2
-11.86265,-2.8456,7.34125,14.27275,WALKING,2
-8.7866,-0.84945,4.4265,10.00275,WALKING,2
-2.304125,-1.129525,8.234375,8.746,WALKING,2
-0.48825,0.20195,8.1273,8.16475,WALKING,2
-1.97325,1.409975,5.8275,6.404,WALKING,2
-4.363675,-0.713925,3.213075,5.544,WALKING,2
-3.165425,-2.270825,2.55115,4.68825,WALKING,2
-0.29815,-1.438125,2.84715,3.31225,WALKING,2
2.178975,-0.3342,1.685225,2.93825,WALKING,2
2.97935,0.985075,-0.57655,3.22725,WALKING,2
2.2399,1.23495,-1.03515,2.76675,WALKING,2
1.0701,1.3022,0.13285,1.70825,WALKING,2
0.8466,1.654625,-0.6234,1.9675,WALKING,2
0.84355,1.81405,-1.1301,2.322,WALKING,2
0.727175,1.624125,-2.13625,2.7875,WALKING,2
1.228625,1.676525,-2.2661,3.08625,WALKING,2
1.636825,1.4047,-1.5947,2.69,WALKING,2
1.534375,0.834525,-0.784425,1.93525,WALKING,2
1.164825,0.161525,0.19255,1.20775,WALKING,2
0.89735,-0.823825,-0.596525,1.42675,WALKING,2
0.781475,-2.0787,-2.935375,3.6925,WALKING,2
0.687725,-2.827325,-5.027125,5.81,WALKING,2
2.2309,-3.300475,-3.318325,5.364,WALKING,2
5.6798,-3.99695,-0.50235,6.9985,WALKING,2
7.19812,-3.85392,-2.02188,8.5188,WALKING,2
6.2883,-5.950766667,-3.784733333,9.483333333,WALKING,2
5.656675,-6.932475,-3.22975,9.52675,WALKING,2
3.99864,-4.0882,-3.46006,6.7016,WALKING,2
-0.471775,-2.52985,-3.406725,4.452,WALKING,2
-4.372666667,-4.349333333,-2.495266667,6.727666667,WALKING,2
-8.0733,-5.4017,1.11945,9.893,WALKING,2
-9.64468,-4.4488,5.15902,11.821,WALKING,2
-9.635075,-4.11665,4.548025,11.434,WALKING,2
-4.543225,-2.454325,0.334875,5.296,WALKING,2
-0.010075,-1.4392,-1.1482,2.21825,WALKING,2
4.220433333,-1.106066667,1.187566667,4.535666667,WALKING,2
5.7761,-1.200525,3.0826,6.6895,WALKING,2
0.43674,0.53012,4.95598,5.447,WALKING,2
-2.580025,2.887425,5.59815,6.8175,WALKING,2
-3.3937,3.637,5.025175,7.0895,WALKING,2
-4.899675,4.21375,5.188825,8.2885,WALKING,2
-5.609875,5.0167,6.573175,9.9975,WALKING,2
-4.94685,5.793425,6.850775,10.24825,WALKING,2
-4.35655,6.0917,6.977375,10.23825,WALKING,2
-3.664633333,6.276933333,6.1798,9.544333333,WALKING,2
-3.20015,6.6583,4.397425,8.61825,WALKING,2
-0.44544,5.31994,-0.11792,6.0006,WALKING,2
2.704575,0.138025,-6.64835,7.36575,WALKING,2
5.468375,-10.1268,-18.18595,21.562,WALKING,2
3.743325,-21.930775,-10.72815,25.88175,WALKING,2
2.233033333,-10.4913,1.362433333,10.953,WALKING,2
2.09528,3.99528,-1.37962,5.4638,WALKING,2
-1.933925,3.790225,-3.99575,7.22875,WALKING,2
-1.752475,-7.291375,-4.9746,9.272,WALKING,2
0.187925,-5.3501,8.06975,10.86175,WALKING,2
-5.224,1.5266,13.9946,15.08666667,WALKING,2
-7.41378,2.27044,3.35224,8.897,WALKING,2
-6.6679,2.73355,5.426425,9.24775,WALKING,2
-5.297675,0.913625,10.84625,12.15475,WALKING,2
-4.201175,-1.326925,7.60885,8.832,WALKING,2
-1.479825,-1.3818,2.24645,3.069,WALKING,2
0.179575,-0.865175,0.433925,1.08625,WALKING,2
2.109475,-0.28465,-0.206175,2.16375,WALKING,2
3.4299,-0.18115,-1.50805,3.79475,WALKING,2
2.811525,-0.18985,-0.85755,3.08425,WALKING,2
1.288766667,0.897133333,2.152833333,2.688666667,WALKING,2
0.84518,1.81462,1.21732,2.5446,WALKING,2
0.79345,1.567875,-1.4843,2.33175,WALKING,2
0.3705,0.99415,-2.943,3.14125,WALKING,2
0.5083,1.0926,-2.868475,3.1295,WALKING,2
1.379775,1.059975,-0.9688,2.08575,WALKING,2
1.81545,0.796,0.019025,1.984,WALKING,2
1.201575,0.50265,-0.3796,1.36625,WALKING,2
0.621275,-0.170525,-0.263175,0.72025,WALKING,2
0.222725,-1.062,-1.8041,2.11275,WALKING,2
0.565733333,-2.225766667,-4.477566667,5.034666667,WALKING,2
1.77954,-3.09184,-3.83046,5.3128,WALKING,2
3.9373,-3.66475,-1.477425,5.61575,WALKING,2
6.385425,-3.8804,-1.7559,7.6945,WALKING,2
6.26945,-3.603825,-3.735275,8.15925,WALKING,2
5.639166667,-5.8957,-3.049866667,8.732,WALKING,2
5.44282,-5.18952,-4.30696,8.7578,WALKING,2
3.80685,-2.5169,-4.23155,6.24075,WALKING,2
0.382,-3.289575,-4.182,5.48175,WALKING,2
-3.0763,-6.213525,-1.583475,7.3855,WALKING,2
-6.80095,-5.596325,5.5484,10.5305,WALKING,2
-10.347125,-4.581375,7.396575,13.55,WALKING,2
-9.391025,-3.513125,2.756475,10.62575,WALKING,2
-2.471975,-1.88215,-3.852925,5.06875,WALKING,2
0.19165,-1.217575,-0.275825,1.878,WALKING,2
3.15025,-1.002725,3.8862,5.1155,WALKING,2
3.53335,-0.5565,4.867925,6.09375,WALKING,2
-1.163025,1.29625,5.12745,5.56675,WALKING,2
-3.07375,3.229125,5.81115,7.33,WALKING,2
-3.231575,4.019825,5.53475,7.57225,WALKING,2
-4.318225,4.427425,5.9943,8.617,WALKING,2
-5.193075,4.870325,6.944075,9.94625,WALKING,2
-4.89245,5.2338,6.672675,9.793,WALKING,2
-4.1368,5.786875,6.228825,9.46025,WALKING,2
-3.401175,6.246275,4.9557,8.68125,WALKING,2
-1.730275,5.86415,2.1877,6.57325,WALKING,2
0.130475,3.158325,-3.2569,4.98125,WALKING,2
1.349075,-1.813975,-6.514875,7.095,WALKING,2
4.334625,-11.111575,-17.429375,21.14125,WALKING,2
5.383325,-16.162825,-7.6309,19.1085,WALKING,2
3.892775,-2.985725,0.429025,5.5285,WALKING,2
1.753175,3.688425,-2.73245,5.03975,WALKING,2
-2.34145,-5.588575,-3.753325,7.4055,WALKING,2
0.3688,-8.7179,-0.77335,9.48175,WALKING,2
-3.9123,-1.29225,11.048425,12.2945,WALKING,2
