ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),activity,subject
-1.7604,-0.4586,-1.09296,2.1272,WALKING,5
-2.4415,-0.67525,-0.650725,2.626,WALKING,5
-2.8027,-0.54655,-0.10325,2.86025,WALKING,5
-3.2395,-0.2726,-0.763433333,3.345666667,WALKING,5
-4.56208,-0.55148,-1.7906,4.9364,WALKING,5
-6.863466667,-1.545,-2.833166667,7.589333333,WALKING,5
-8.11048,-1.84458,-2.5442,8.7044,WALKING,5
-5.5756,-0.484,-2.6238,6.1895,WALKING,5
-2.4727,-0.1533,-1.4467,2.87,WALKING,5
0.246433333,-0.781683333,-0.61245,1.347833333,WALKING,5
1.377633333,-2.427366667,0.248766667,2.815333333,WALKING,5
2.76022,-3.9913,1.43808,5.0732,WALKING,5
5.377225,-5.800125,1.68685,8.09225,WALKING,5
6.321866667,-6.201866667,1.182566667,8.936,WALKING,5
5.64268,-3.89794,2.00016,7.2296,WALKING,5
4.302825,-0.4551,3.3827,5.5655,WALKING,5
2.478133333,1.776666667,2.929966667,4.288,WALKING,5
-0.76528,3.3436,-0.49716,3.8936,WALKING,5
-2.5546,3.4763,-1.7445,4.653,WALKING,5
-0.722842857,1.956485714,1.173971429,3.135142857,WALKING,5
1.706775,0.517,3.534225,3.9645,WALKING,5
1.671925,0.701925,2.77795,3.32775,WALKING,5
2.7982,1.312275,1.72175,3.57425,WALKING,5
4.462633333,1.855633333,1.357266667,5.020666667,WALKING,5
5.14618,2.40468,1.71444,5.938,WALKING,5
4.007225,2.83535,1.078225,5.05075,WALKING,5
1.834775,2.534325,-1.02565,3.40475,WALKING,5
-0.227975,0.886025,-2.0238,2.349,WALKING,5
-1.6326,-0.5837,-2.283,2.873,WALKING,5
-3.958616667,-2.326766667,-5.584283333,7.232666667,WALKING,5
-10.4083,-5.483825,-10.461625,15.911,WALKING,5
-9.191075,-5.248975,-3.20955,11.10175,WALKING,5
-1.5078,-2.7604,-2.1943,4.7325,WALKING,5
4.484166667,-3.098366667,-3.183733333,6.426333333,WALKING,5
6.73588,-4.01574,4.40748,9.2652,WALKING,5
6.09595,-2.87555,6.40535,9.30075,WALKING,5
2.8534,-1.315425,4.03235,5.14525,WALKING,5
1.2819,0.781625,3.34745,3.70675,WALKING,5
2.0663,2.451666667,3.7601,4.949666667,WALKING,5
3.08192,3.19238,4.0065,5.9856,WALKING,5
3.14275,1.690225,3.1855,4.79775,WALKING,5
0.9402,-0.1277,0.47735,1.52575,WALKING,5
-2.0632,-0.995475,-1.446925,2.758,WALKING,5
-4.083725,-0.893775,0.113375,4.2325,WALKING,5
-3.877533333,-0.7518,1.367533333,4.181333333,WALKING,5
-1.60105,-0.4395,0.96655,1.9785,WALKING,5
0.98838,0.24708,0.31782,1.1466,WALKING,5
1.2252,1.3041,0.126975,1.82225,WALKING,5
0.401525,2.0934,0.376525,2.1895,WALKING,5
-0.5775,1.965275,0.700675,2.1865,WALKING,5
-1.4833,1.479725,0.6056,2.193,WALKING,5
-1.582475,1.008825,0.56215,1.96225,WALKING,5
-0.7628,0.184825,-0.89555,1.38575,WALKING,5
-0.44935,-0.352975,-1.677825,1.78375,WALKING,5
-1.341675,-0.1747,-1.376525,1.943,WALKING,5
-2.3198,-0.083025,-1.640125,2.843,WALKING,5
-3.419225,-0.3567,-2.095875,4.0285,WALKING,5
-4.005,-0.641025,-1.772025,4.43125,WALKING,5
-4.15225,-0.1389,-1.10865,4.31325,WALKING,5
-4.514975,0.8435,-0.7536,4.6585,WALKING,5
-6.01245,0.80195,-1.0569,6.166,WALKING,5
-7.87445,-0.221,-1.338025,7.9945,WALKING,5
-7.0178,-0.316475,-2.4764,7.473,WALKING,5
-3.109575,-0.45905,-2.968375,4.39325,WALKING,5
0.374675,-1.176825,-2.318825,2.75975,WALKING,5
2.229675,-2.6796,-0.852375,3.656,WALKING,5
3.01775,-4.060175,0.84255,5.13575,WALKING,5
5.484425,-5.701625,1.469325,8.0515,WALKING,5
7.1551,-6.756225,1.30715,9.9285,WALKING,5
6.5495,-5.00405,2.208775,8.5705,WALKING,5
5.373075,-1.650825,3.706325,6.8065,WALKING,5
3.25945,1.22225,3.79205,5.24,WALKING,5
-0.419225,3.12735,0.89115,3.81725,WALKING,5
-3.375175,3.42415,-1.753625,5.12325,WALKING,5
-1.473075,2.069075,-0.189,2.66625,WALKING,5
1.94055,0.946675,1.2296,2.54075,WALKING,5
3.410625,1.5275,1.46715,4.027,WALKING,5
3.613075,2.35725,1.934625,4.73275,WALKING,5
4.153225,2.514225,3.038675,5.73025,WALKING,5
4.902025,2.470575,3.44385,6.482,WALKING,5
5.153675,2.55695,2.110475,6.162,WALKING,5
4.479025,2.257425,-1.13515,5.2865,WALKING,5
0.539525,0.1712,-3.838425,4.274,WALKING,5
-5.24015,-3.565875,-6.198075,8.87375,WALKING,5
-14.505475,-6.78365,-11.243475,19.791,WALKING,5
-14.623475,-5.682625,-5.422875,16.601,WALKING,5
-5.438125,-3.332375,-4.840525,8.63375,WALKING,5
3.489775,-3.147275,-5.41065,7.358,WALKING,5
7.14695,-4.0206,5.6724,10.24025,WALKING,5
5.86495,-3.173,9.75235,11.86725,WALKING,5
1.20425,-1.794875,8.176425,8.4955,WALKING,5
