time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001246,0.0408,-0.0295,-0.041,0.065
0.02023,-0.0388,-0.0139,-0.2459,0.249
0.037124,0.0543,-0.0426,-0.1555,0.17
0.057003,0.038,-0.0105,-0.0111,0.041
0.076826,0.0116,-0.0075,0.0319,0.035
0.097292,0.005,0.0056,0.0884,0.089
0.120124,0.0388,-0.0174,0.0053,0.043
0.136903,-0.012,-0.004,-0.1157,0.116
0.156882,-0.0619,-0.0297,-0.0302,0.075
0.176625,-0.0792,0.0022,0.006,0.079
0.197064,-0.0485,0.0038,-0.0387,0.062
0.220019,-0.0406,0.0044,0.0139,0.043
0.236684,-0.0623,0.0005,0.1324,0.146
0.256688,0.0239,-0.0031,0.0444,0.051
0.276427,0.092,-0.0656,-0.0109,0.114
0.296633,0.0836,-0.0473,-0.0203,0.098
0.320028,0.022,-0.0269,-0.0444,0.056
0.336369,0.0144,-0.0136,-0.0332,0.039
0.35697,-0.0226,-0.0037,-0.0162,0.028
0.376081,-0.0845,-0.0103,0.0387,0.093
0.396266,-0.0633,-0.014,-0.0229,0.069
0.417983,-0.1123,0.0189,-0.0218,0.116
0.436306,-0.0672,0.0321,-0.0646,0.099
0.456422,-0.0018,-0.0271,-0.0119,0.03
0.475953,0.0212,-0.0142,-0.0109,0.028
0.496566,-0.0458,0.0211,0.0386,0.064
0.519986,-0.0619,0.0025,0.1133,0.129
0.536256,-0.0476,-0.0531,0.1549,0.17
0.556694,-0.0377,-0.0457,0.018,0.062
0.576132,0.0035,0.0372,-0.133,0.138
0.596918,0.0373,0.0011,-0.0965,0.103
0.618037,0.0277,0.0249,-0.0738,0.083
0.641698,0.0787,0.0107,-0.1413,0.162
0.655532,-0.0012,0.0571,-0.067,0.088
0.675866,-0.0142,0.0051,0.0541,0.056
0.696917,-0.0415,-0.0084,0.0522,0.067
0.719564,-0.0695,-0.001,0.1007,0.122
0.736687,-0.1873,0.0065,0.0343,0.191
0.755351,-0.2878,0.0491,-0.124,0.317
0.775812,-0.2417,0.0482,0.1403,0.284
0.795527,-0.4709,0.1472,0.2472,0.552
0.819298,-1.586,0.0118,0.7784,1.767
0.835917,-1.7385,0.3944,1.0472,2.067
0.855887,-1.453,0.3006,0.5871,1.596
0.875652,-1.2292,-0.0807,0.276,1.262
0.897219,-1.3856,-0.1841,0.9728,1.703
0.915994,-1.1962,-0.4162,1.0443,1.642
0.93642,-0.9603,-0.5152,0.3761,1.153
0.954819,-0.9801,-0.298,-0.1346,1.033
0.975206,-1.1158,0.1078,0.3028,1.161
0.995183,-1.4268,-0.1244,0.3962,1.486
1.017899,-0.8411,-0.3994,0.3678,1.001
1.035335,-1.1952,-0.1753,0.2055,1.225
1.05506,-1.2613,0.0754,0.3663,1.316
1.075102,-0.7082,-0.0158,0.0146,0.708
1.096237,-0.1592,-0.0639,-0.2952,0.341
1.115136,0.1949,-0.1865,-0.5405,0.604
1.1365,0.4841,-0.3887,-0.6613,0.907
1.15471,0.6494,-0.4492,-0.5456,0.96
1.174537,0.7048,-0.4755,-0.5838,1.031
1.19518,0.978,-0.7152,0.0512,1.213
1.21503,1.4954,-1.0328,0.3282,1.847
1.237434,1.7012,-1.1045,-0.1395,2.033
1.254419,1.7445,-1.0244,-0.3486,2.053
1.275312,1.8033,-0.9585,-0.618,2.134
1.296104,1.8253,-0.8525,-0.8814,2.199
1.314348,1.6447,-0.6859,-0.7647,1.939
1.335435,1.6031,-0.5264,-0.6971,1.826
1.35472,1.5992,-0.379,-0.914,1.881
1.374259,1.7058,-0.4118,-0.934,1.988
